Ekspresi,Gendre,Artist,Lagu,Tahun,spotify_uri
Netral,Pop,Vedo,You Got It,2020,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
Netral,Pop,Tiara andini,Cintanya aku,2021,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP
Netral,Indie,Nadin Amizah,Rayuan Perempuan Gila,2023,https://open.spotify.com/track/1nYdkPCbHdYi4w7s2L6SHA
Netral,Pop,Ghea indrawari,Jiwa yang bersedih,2023,https://open.spotify.com/track/6XsFgTG4dY768oIB4Dmeu0
Netral,Pop,Tulus,Gajah,2014,https://open.spotify.com/track/7vZTvo2aJ6wHKCGjwjdWIf
Netral,Pop,Feby Putri,Rantau,2022,https://open.spotify.com/track/1K2bNJgWU7cGRIAVOyOyzk
Netral,Pop,EXO,Growl,2013,https://open.spotify.com/track/4pi0Elz7B7cLfw37J3bYm9
Netral,Koplo,Happy Asmara,Nemen,2023,https://open.spotify.com/track/4fC0h0he0bsB43Icz9CbR9
Netral,Pop,Tulus,Hati-hati di jalan,2022,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl
Netral,Pop Punk,stand here alone,indah tak sempurna,2016,https://open.spotify.com/track/5bvLKnz3flORVpmBYcPwUU
Netral,Indie,Sal priadi,Irama laot teduh,2020,https://open.spotify.com/track/1lOknqLTXzWQnYRZqOIUcX
Netral,Pop,Joshua Bassett,Smoke Slow,2022,https://open.spotify.com/track/4sEN7hRcdfzDpk4wUG47qO
Netral,Pop,Noah,Topeng,2021,https://open.spotify.com/track/4qiFIfmqNuGXGcgWny5HKJ
Netral,Pop,Yura yunita,Jalan pulang,2023,https://open.spotify.com/track/1ado6H8nwj0izGVinobwuP
Netral,Pop,Tulus,Monokrom,2016,https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL
Netral,Pop,Hindia,Evakuasi,2019,https://open.spotify.com/track/1bcIiU5FWRa2IYBqx0bk67
Netral,Pop,Nadin Amizah,Bertaut,2020,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
Netral,Pop,BTS,Dynamite,2020,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
Netral,Koplo,Denny Caknan,Cundamani,2023,https://open.spotify.com/track/64MmMbaX3hmAKQ6nFLJgpg
Netral,Pop,Lyodra,Sang Dewi,2022,https://open.spotify.com/track/5fDCy4Hse30ZsjaTUGKVh5
Netral,Pop Punk,the jansen,kau pemeran utama,2022,https://open.spotify.com/track/6P3sYc1pBoSFmV5amOXykw
Netral,Indie,Tulus,Bunga Tidur,2014,https://open.spotify.com/track/2o9AHYt8uSxS7tPnukrDaI
Netral,Pop,Kiana Led̩,Wicked Games,2018,https://open.spotify.com/track/0TYhf0MgEj4YJaKwo5c4Km
Netral,Pop,Idgitaf,Satu satu,2022,https://open.spotify.com/track/3d6BjQ0QOLTzuKoOQbeGgG
Netral,Pop,Nadin Amizah,Rayuan perempuan gila,2023,https://open.spotify.com/track/1nYdkPCbHdYi4w7s2L6SHA
Netral,Pop,Adele,Easy On Me,2021,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Netral,Pop,Fiersa Besari,Garis terdepan,2015,https://open.spotify.com/track/7vbZI0mSwt6rpsnAoAAUns
Netral,Pop,Tiara Andini,Tega,2023,https://open.spotify.com/track/0aD0wrs2WlqnV3l7VXqlfM
Netral,Koplo,Adella,Dumes,2023,https://open.spotify.com/track/5Cz2RK6nXnemf0OjY272Xq
Netral,Indie,hindia,rumah ke rumah,2019,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
Netral,Reggae,tipe x,mawar hitam,2005,https://open.spotify.com/track/25Sk65Rg036j9sr1eSOm8l
Netral,Pop,George Benson,Nothing's Gonna Change My Love For You,1985,https://open.spotify.com/track/0vB4Vd6PtkJSEnWsmqATnZ
Netral,Pop,"The Chainsmokers, ILLENIUM",Takeaway(feat. Lennon Stella),2019,https://open.spotify.com/track/4xkm03zMAQXHc0QHl0V2Rm
Netral,Indie,hindia,secukupnya,2019,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
Netral,Reggae,Bob Marley ,No woman no cry ,1974,https://open.spotify.com/track/3PQLYVskjUeRmRIfECsL0X
Netral,Indie,payung teduh,resah,2014,https://open.spotify.com/track/1k5vv2ood14aa5uBYWBlWh
Netral,Indie,nadin amizah,rumpang,2018,https://open.spotify.com/track/2TRGNVokPnC2a2oHg5iv1H
Netral,Reggae,Coconuttreez,lagu santai,2008,https://open.spotify.com/track/5xNrCftiKTwkykqtTQLynE
Netral,Rap,eminem,rap god,2013,https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k
Netral,Indie,hindia ,secukupnya,2019,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
Netral,Pop,Ed Sheeran,Shape of You,2017,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
